               ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 2     ,DSO 2     ,DSO 2     ,DSO 2     ,          
Sample         ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,Channel1  ,Channel2  ,Channel3  ,Channel4  , Timestamp
 DSO 2       49,          ,          ,          ,          ,0.329     ,0.071     ,0.567     ,0.0175    ,  -7653174
 DSO 1       54,0.444     ,0.20      ,-2.58     ,0.0516    ,          ,          ,          ,          ,  -7652237
 DSO 2       50,          ,          ,          ,          ,0.548     ,0.766     ,0.825     ,0.0171    ,  -7643174
 DSO 1       55,0.571     ,-3.17     ,1.98      ,0.0258    ,          ,          ,          ,          ,  -7642237
 DSO 2       51,          ,          ,          ,          ,0.726     ,0.528     ,0.528     ,0.0218    ,  -7633174
 DSO 1       56,0.397     ,-2.58     ,0.40      ,0.0575    ,          ,          ,          ,          ,  -7632237
 DSO 2       52,          ,          ,          ,          ,0.508     ,0.270     ,0.726     ,0.0230    ,  -7623174
 DSO 1       57,0.873     ,-3.37     ,2.18      ,0.0635    ,          ,          ,          ,          ,  -7622237
 DSO 2       53,          ,          ,          ,          ,0.687     ,0.548     ,0.528     ,0.0226    ,  -7613174
 DSO 1       58,0.683     ,0.00      ,3.77      ,0.0437    ,          ,          ,          ,          ,  -7612237
 DSO 2       54,          ,          ,          ,          ,0.270     ,-0.048    ,0.171     ,0.0143    ,  -7603174
 DSO 1       59,0.825     ,0.99      ,-1.79     ,0.0556    ,          ,          ,          ,          ,  -7602237
 DSO 2       55,          ,          ,          ,          ,0.310     ,0.210     ,0.171     ,0.0119    ,  -7593174
 DSO 1       60,0.540     ,-1.79     ,1.79      ,0.0357    ,          ,          ,          ,          ,  -7592237
 DSO 2       56,          ,          ,          ,          ,0.151     ,0.032     ,0.468     ,0.0171    ,  -7583174
 DSO 1       61,0.492     ,0.00      ,-0.79     ,0.0714    ,          ,          ,          ,          ,  -7582237
 DSO 2       57,          ,          ,          ,          ,0.310     ,0.052     ,0.587     ,0.0111    ,  -7573174
